Rg;Mc;rh;rhoh;host
2.9444E+00;2.2387E+05;3.3700E+00;6.9822E+11;NearbyDwarfs
1.8954E+00;2.5119E+05;4.0300E+00;4.5811E+11;NearbyDwarfs
1.3304E+00;2.0417E+05;5.7700E+00;1.2687E+11;NearbyDwarfs
1.1175E+00;7.2444E+05;3.3000E+00;2.4062E+12;NearbyDwarfs
3.2640E-01;1.2303E+06;3.5100E+00;3.3959E+12;NearbyDwarfs
9.1870E-01;8.7096E+04;2.1700E+00;1.0174E+12;NearbyDwarfs
2.7714E+00;7.5858E+04;2.3000E+00;7.4421E+11;NearbyDwarfs
1.5272E+00;5.3703E+04;5.4100E+00;4.0485E+10;NearbyDwarfs
1.5310E+00;2.4547E+05;2.5700E+00;1.7262E+12;NearbyDwarfs
4.1440E-01;8.9125E+04;1.4980E+01;3.1648E+09;NearbyDwarfs
1.5770E+00;1.4791E+05;2.9800E+00;6.6716E+11;NearbyDwarfs
1.6416E+00;1.2023E+05;4.3400E+00;1.7556E+11;NearbyDwarfs
5.0760E-01;7.0795E+04;1.8560E+01;1.3217E+09;NearbyDwarfs
1.2132E+00;1.2303E+05;2.9000E+00;6.0213E+11;NearbyDwarfs
1.6501E+00;7.5858E+04;7.7900E+00;1.9154E+10;NearbyDwarfs
1.6881E+00;4.6774E+04;3.9700E+00;8.9230E+10;NearbyDwarfs
1.7491E+00;1.8197E+04;6.9000E-01;6.6120E+12;NearbyDwarfs
1.6577E+00;9.1201E+03;6.4500E+00;4.0570E+09;NearbyDwarfs
1.8045E+00;2.2909E+04;4.1300E+00;3.8818E+10;NearbyDwarfs
3.1329E+00;2.3442E+04;3.5700E+00;6.1500E+10;NearbyDwarfs
1.7097E+00;4.7863E+04;6.6500E+00;1.9427E+10;NearbyDwarfs
2.2022E+00;2.3442E+04;2.7700E+00;1.3166E+11;NearbyDwarfs
2.2890E-01;1.3490E+06;2.9200E+00;6.4675E+12;NearbyDwarfs
2.6390E-01;6.6069E+04;1.7900E+00;1.3751E+12;NearbyDwarfs
2.8722E+00;1.7378E+05;1.9100E+00;2.9770E+12;NearbyDwarfs
1.6886E+00;4.4668E+04;3.7700E+00;9.9508E+10;NearbyDwarfs
1.8699E+00;1.1482E+04;1.2600E+00;6.8513E+11;NearbyDwarfs
2.4826E+00;1.6982E+04;1.4500E+00;6.6493E+11;NearbyDwarfs
1.1974E+00;2.0893E+04;2.5200E+00;1.5584E+11;NearbyDwarfs
2.1191E+00;1.0965E+04;1.1900E+00;7.7668E+11;NearbyDwarfs
4.6490E-01;3.0200E+04;1.9500E+00;4.8616E+11;NearbyDwarfs
1.0000E-04;1.3490E+06;2.9500E+00;6.2721E+12;NearbyDwarfs
1.4720E-01;1.2882E+05;2.5600E+00;9.1656E+11;NearbyDwarfs
1.6120E-01;7.7625E+04;4.4600E+00;1.0444E+11;NearbyDwarfs
1.9640E-01;3.3113E+05;4.2400E+00;5.1854E+11;NearbyDwarfs
1.9570E-01;1.9953E+04;3.2100E+00;7.2006E+10;NearbyDwarfs
5.8150E-01;4.6774E+04;3.1800E+00;1.7362E+11;NearbyDwarfs
1.5705E+00;1.3490E+04;1.4300E+00;5.5065E+11;NearbyDwarfs
8.8080E-01;4.4668E+04;1.6900E+00;1.1046E+12;NearbyDwarfs
0.0000E+00;2.4547E+05;1.9700E+00;3.8325E+12;NearbyDwarfs
2.2695E+00;2.3442E+04;1.7700E+00;5.0462E+11;NearbyDwarfs
2.5483E+00;2.4547E+04;4.7600E+00;2.7168E+10;NearbyDwarfs
3.5746E+00;1.6596E+04;2.2200E+00;1.8106E+11;NearbyDwarfs
2.7178E+00;3.0200E+04;2.0300E+00;4.3092E+11;NearbyDwarfs
8.5820E-01;6.1660E+04;4.4800E+00;8.1855E+10;NearbyDwarfs
3.0517E+00;6.3096E+04;8.4800E+00;1.2351E+10;NearbyDwarfs
2.6810E-01;4.3652E+05;2.0900E+00;5.7075E+12;NearbyDwarfs
4.6980E-01;1.3490E+05;1.0320E+01;1.4650E+10;NearbyDwarfs
1.5270E-01;8.9125E+05;1.4500E+00;3.4896E+13;NearbyDwarfs
3.0310E-01;2.1380E+05;2.0800E+00;2.8359E+12;NearbyDwarfs
2.3494E+00;1.6596E+05;2.9300E+00;7.8755E+11;NearbyDwarfs
1.8046E+00;4.3652E+04;1.2000E+00;3.0154E+12;NearbyDwarfs
5.9120E-01;7.2444E+04;4.5400E+00;9.2409E+10;NearbyDwarfs
2.1082E+00;5.7544E+04;1.1550E+01;4.4580E+09;NearbyDwarfs
8.8070E-01;3.0903E+04;2.6000E+00;2.0988E+11;NearbyDwarfs
1.6120E+00;9.1201E+03;2.6600E+00;5.7841E+10;NearbyDwarfs
2.8230E+00;7.0795E+04;1.2850E+01;3.9826E+09;NearbyDwarfs
2.1303E+00;1.4791E+05;6.1400E+00;7.6274E+10;NearbyDwarfs
1.7200E-01;1.7378E+05;2.0100E+00;2.5544E+12;NearbyDwarfs
1.2979E+00;7.5858E+05;1.6200E+00;2.1298E+13;NearbyDwarfs
1.1577E+00;1.2882E+05;2.1600E+00;1.5259E+12;NearbyDwarfs
1.7157E+00;6.9183E+04;4.3100E+00;1.0315E+11;NearbyDwarfs
2.6548E+00;5.0119E+05;1.7300E+00;1.1554E+13;NearbyDwarfs
9.6230E-01;7.4131E+04;6.8100E+00;2.8018E+10;NearbyDwarfs
6.5760E-01;3.1623E+05;5.9700E+00;1.7740E+11;NearbyDwarfs
2.4130E-01;1.3804E+05;7.7500E+00;3.5398E+10;NearbyDwarfs
